Date,BTCPriceActual,BTCPriceProjected,BTCPrice,GlobalBTCRewards,MinerHRActual,MinerHRProjected,NetworkHRActual,NetworkHRProjected,MinerBTCRewardsActual,MinerBTCRewardsProjected,CumMinerBTCRewardsActual,CumMinerBTCRewardsProjected,MinerRevenueActual,MinerRevenueProjected,MinerExpensesActual,MinerExpensesProjected,MinerPNLActual,MinerPNLProjected,MinerPNL,CumMinerPNL,HedgePNL,CumHedgePNL,NetPNL,CumNetPNL,PayoffTime
2023-11-02,35440.51,0.0,35440.51,927.0,0.0,0.0,447130946.6720681,0.0,2.943e-05,0.0,2.943e-05,0.0,1.0430142093,0.0,1.1666666666666667,0.0,-0.12365245736666663,0.0,-0.12365245736666663,-0.12365245736666663,19.025777999999978,19.025777999999978,18.90212554263331,-0.12365245736666663,0.0
2023-11-03,34934.65,0.0,34934.65,927.0,14.86,0.0,422290338.52361983,0.0,0.00011125,0.0,0.00014068,0.0,3.8864798125,0.0,1.1666666666666667,0.0,2.7198131458333332,0.0,2.7198131458333332,2.5961606884666666,6.171492000000008,25.197269999999985,8.891305145833341,2.5961606884666666,0.0
2023-11-04,34736.55,0.0,34736.55,927.0,55.45,0.0,521652771.1174128,0.0,0.0001134,0.0,0.00025408,0.0,3.9391247700000007,0.0,1.1666666666666667,0.0,2.772458103333334,0.0,2.772458103333334,5.368618791800001,2.41681999999998,27.614089999999965,5.189278103333314,5.368618791800001,0.0
2023-11-05,35088.05,0.0,35088.05,927.0,54.6,0.0,506127391.02463263,0.0,0.00011217,0.0,0.00036625000000000004,0.0,3.9358265685000005,0.0,1.1666666666666667,0.0,2.7691599018333335,0.0,2.7691599018333335,8.137778693633335,-4.2883,23.325789999999966,-1.519140098166666,8.137778693633335,0.0
2023-11-06,35048.35,0.0,35048.35,927.0,54.25,0.0,394344654.35661566,0.0,0.00011734,0.0,0.00048359000000000005,0.0,4.112573389,0.0,1.1666666666666667,0.0,2.9459067223333326,0.0,2.9459067223333326,11.083685415966666,0.48434000000005284,23.81013000000002,3.4302467223333855,11.083685415966666,0.0
2023-11-07,35035.12,0.0,35035.12,927.0,55.54,0.0,412975110.4679518,0.0,0.0001165,0.0,0.0006000900000000001,0.0,4.08159148,0.0,1.1666666666666667,0.0,2.914924813333333,0.0,2.914924813333333,13.998610229299999,0.16140599999994976,23.97153599999997,3.076330813333283,13.998610229299999,0.0
2023-11-08,35436.28,0.0,35436.28,927.0,54.6,0.0,462656326.7648482,0.0,0.00011904,0.0,0.0007191300000000001,0.0,4.2183347712,0.0,1.1666666666666667,0.0,3.0516681045333334,0.0,3.0516681045333334,17.050278333833333,-4.894151999999952,19.077384000000016,-1.8424838954666187,17.050278333833333,0.0
2023-11-09,35629.52,0.0,35629.52,927.0,54.72,0.0,444025870.65351206,0.0,0.00013659,0.0,0.0008557200000000001,0.0,4.8666361367999995,0.0,1.1666666666666667,0.0,3.6999694701333325,0.0,3.6999694701333325,20.750247803966666,-2.357527999999977,16.71985600000004,1.3424414701333554,20.750247803966666,0.0
2023-11-10,36696.25,0.0,36696.25,927.0,55.51,0.0,478181706.85762835,0.0,0.00012691999999999998,0.0,0.0009826400000000001,0.0,4.6574880499999995,0.0,1.1666666666666667,0.0,3.4908213833333326,0.0,3.4908213833333326,24.2410691873,-13.014106000000039,3.70575,-9.523284616666707,24.2410691873,0.0
2023-11-11,37321.65,0.0,37321.65,927.0,56.56,0.0,496812162.9689646,0.0,0.00012047,0.0,0.00110311,0.0,4.4961391755,0.0,1.1666666666666667,0.0,3.329472508833333,0.0,3.329472508833333,27.570541696133333,-7.629880000000018,-3.924130000000018,-4.300407491166685,27.570541696133333,0.0
